Дата,Товар,Количество,Цена за единицу
2025-05-22,Шорты,22,6.55
2025-11-23,Сумка,17,5.55
2025-08-02,Ноутбук,17,13.02
2025-04-21,Ручка,17,1.67
2025-10-08,Набор пакетов,9,7.62
2025-07-17,Книга,30,14.94
2025-08-07,Ложка,22,8.25
2025-01-10,Ложка,31,15.08
2025-08-04,Сумка,17,2.43
2025-01-23,Телефон,23,6.43
2025-10-23,Чипсы,9,5.73
2025-12-15,Футболка,30,5.1
2025-04-17,Свитер,12,8.88
2025-02-26,Свитер,13,5.94
2025-05-15,Кепка,1,2.59
2025-12-16,Очки,23,2.59
2025-11-23,Чипсы,27,1.22
2025-08-05,Ложка,6,8.26
2025-09-30,Ручка,8,6.68
2025-10-12,Набор пакетов,20,2.98
2025-08-20,Футболка,9,7.24
2025-02-27,Часы,7,15.73
2025-06-02,Очки,31,11.65
2025-03-27,Сумка,18,8.21
2025-12-17,Штаны,16,5.4
2025-06-24,Часы,33,3.43
2025-06-01,Телефон,1,11.41
2025-02-12,Книга,7,17.27
2025-11-28,Часы,27,15.52
2025-02-13,Свитер,1,11.59
2025-04-27,Игрушка,25,6.91
2025-11-02,Книга,33,18.74
2025-03-28,Набор пакетов,1,10.92
2025-08-07,Книга,24,10.63
2025-01-03,Ноутбук,6,12.8
2025-11-13,Ручка,4,16.84
2025-01-11,Ручка,16,2.15
2025-03-10,Сумка,27,9.57
2025-04-27,Кроссовки,17,17.57
2025-09-17,Футболка,3,2.08
2025-11-21,Ручка,20,10.2
2025-05-08,Кроссовки,21,2.96
2025-02-22,Телефон,5,18.52
2025-04-23,Планшет,33,13.08
2025-09-18,Футболка,29,6.92
2025-08-02,Свитер,7,1.62
2025-09-22,Телефон,28,10.04
2025-09-22,Очки,33,10.61
2025-08-05,Ноутбук,1,5.35
2025-06-09,Часы,14,16.99
2025-12-14,Ноутбук,29,9.01
2025-12-07,Набор пакетов,12,10.23
2025-09-19,Сумка,21,12.01
2025-09-27,Кроссовки,2,14.96
2025-08-02,Игрушка,28,8.0
2025-09-14,Набор пакетов,29,16.17
2025-01-08,Ложка,22,16.31
2025-03-31,Штаны,4,3.78
2025-06-06,Чипсы,14,17.9
2025-05-02,Футболка,13,16.68
2025-08-25,Кроссовки,22,13.56
2025-06-03,Кепка,8,9.04
2025-01-29,Набор пакетов,5,1.4
2025-09-22,Ноутбук,4,6.12
2025-05-16,Планшет,31,7.68
2025-04-07,Книга,19,18.46
2025-04-15,Ложка,14,6.95
2025-08-06,Телефон,17,17.71
2025-04-04,Телефон,20,16.55
2025-12-29,Свитер,7,14.88
2025-06-30,Ручка,24,8.38
2025-10-20,Очки,6,18.57
2025-05-28,Планшет,31,15.8
2025-12-21,Футболка,18,11.36
2025-08-17,Свитер,10,14.27
2025-03-06,Ноутбук,18,6.68
2025-09-24,Кепка,23,6.04
2025-09-09,Сумка,28,4.15
2025-02-17,Телефон,1,10.76
2025-12-16,Кепка,11,5.23
2025-03-28,Ложка,24,15.99
2025-07-04,Планшет,10,9.3
2025-06-18,Игрушка,17,3.88
2025-11-01,Ноутбук,31,8.63
2025-12-17,Сумка,1,11.15
2025-08-05,Свитер,11,13.12
2025-02-06,Набор пакетов,29,10.25
2025-12-05,Ручка,10,5.95
2025-12-17,Кроссовки,8,6.92
2025-12-25,Планшет,1,6.09
2025-01-24,Очки,32,3.34
2025-07-02,Планшет,27,12.97
2025-01-19,Кепка,1,8.04
2025-06-24,Ложка,5,5.48
2025-04-11,Телефон,18,12.22
2025-03-14,Ручка,26,7.86
2025-02-02,Часы,28,6.47
2025-02-05,Ручка,32,16.98
2025-04-08,Очки,16,6.99
2025-05-25,Штаны,31,11.64
2025-11-04,Планшет,16,10.76
2025-06-06,Чипсы,2,17.22
2025-04-26,Сумка,29,8.72
2025-07-01,Шорты,22,17.03
2025-11-26,Ноутбук,29,11.28
2025-07-16,Ложка,13,18.66
2025-01-26,Чипсы,2,9.96
2025-10-06,Свитер,19,1.27
2025-04-17,Свитер,2,15.05
2025-03-22,Кепка,20,16.07
2025-02-01,Кроссовки,8,9.12
2025-11-17,Ручка,3,3.74
2025-12-21,Ноутбук,19,3.35
2025-12-13,Чипсы,32,11.54
2025-11-30,Свитер,6,16.88
2025-11-19,Шорты,27,16.62
2025-06-06,Кепка,8,18.93
2025-05-01,Кроссовки,27,14.98
2025-08-02,Шорты,10,11.42
2025-04-15,Кроссовки,12,6.98
2025-07-11,Часы,23,5.58
2025-06-05,Свитер,2,13.99
2025-07-28,Свитер,10,8.74
2025-12-28,Свитер,13,16.97
2025-08-03,Кроссовки,11,8.72
2025-03-22,Ложка,2,4.84
2025-06-28,Набор пакетов,17,6.19
2025-04-13,Игрушка,17,1.86
2025-03-25,Свитер,26,6.69
2025-05-30,Книга,17,17.83
2025-09-11,Шорты,18,5.78
2025-02-24,Очки,18,18.52
2025-03-15,Часы,6,17.3
2025-07-21,Книга,30,17.15
2025-07-22,Сумка,13,14.73
2025-04-06,Кроссовки,4,14.08
2025-12-05,Сумка,12,8.37
2025-12-29,Ложка,5,8.36
2025-12-17,Кроссовки,25,14.31
2025-11-15,Кепка,11,18.17
2025-08-10,Шорты,22,1.4
2025-06-02,Чипсы,11,8.72
2025-03-21,Сумка,19,4.53
2025-04-30,Кепка,4,12.38
2025-07-26,Ноутбук,18,9.78
2025-05-10,Книга,2,9.79
2025-06-30,Ручка,23,15.43
2025-03-26,Ложка,30,16.1
2025-04-28,Свитер,22,3.57
2025-01-20,Чипсы,21,4.38
2025-03-12,Ложка,11,9.59
2025-05-22,Планшет,3,15.47
2025-08-20,Штаны,12,6.0
2025-02-13,Телефон,6,12.16
2025-06-29,Кепка,31,1.54
2025-03-11,Штаны,10,8.85
2025-09-01,Планшет,6,14.58
2025-08-21,Книга,16,12.32
2025-08-31,Ноутбук,5,5.29
2025-06-28,Кроссовки,33,2.68
2025-03-15,Свитер,18,16.09
2025-11-29,Ложка,33,14.94
2025-03-07,Чипсы,18,17.28
2025-11-05,Шорты,21,14.15
2025-04-16,Ручка,13,4.81
2025-03-07,Чипсы,11,15.88
2025-11-11,Ручка,3,17.44
2025-04-11,Штаны,2,8.57
2025-06-16,Чипсы,29,9.08
2025-06-03,Ложка,21,10.89
2025-08-27,Штаны,21,9.7
2025-03-18,Сумка,23,7.16
2025-09-04,Штаны,5,10.92
2025-08-22,Шорты,3,14.91
2025-01-05,Набор пакетов,26,14.07
2025-05-19,Футболка,30,14.43
2025-07-07,Чипсы,17,5.21
2025-05-12,Штаны,14,4.55
2025-05-09,Набор пакетов,18,18.23
2025-12-01,Ложка,9,17.59
2025-03-02,Ручка,18,14.8
2025-04-13,Сумка,19,12.72
2025-10-26,Набор пакетов,6,16.66
2025-05-02,Очки,5,3.41
2025-05-12,Шорты,32,1.67
2025-01-12,Футболка,2,12.5
2025-04-21,Свитер,21,14.56
2025-12-23,Набор пакетов,17,18.15
2025-06-09,Футболка,30,4.29
2025-10-26,Ложка,31,13.47
2025-03-11,Очки,2,3.35
2025-02-19,Набор пакетов,2,6.95
2025-07-27,Набор пакетов,33,7.09
2025-06-02,Сумка,28,13.47
2025-08-20,Шорты,7,16.65
2025-07-06,Чипсы,30,16.41
2025-06-21,Очки,30,14.59
2025-04-06,Кепка,3,13.99
2025-07-01,Телефон,28,15.63
2025-12-26,Очки,30,7.21
2025-08-11,Чипсы,6,15.41
2025-07-17,Ноутбук,9,15.1
2025-09-18,Телефон,25,6.22
2025-10-15,Свитер,4,10.5
2025-09-26,Книга,17,11.0
2025-10-12,Планшет,1,6.67
2025-12-20,Свитер,14,13.26
2025-01-05,Кроссовки,11,12.18
2025-05-20,Ручка,28,8.11
2025-04-25,Кроссовки,28,9.32
2025-11-03,Кепка,27,14.93
2025-12-25,Сумка,29,12.09
2025-12-20,Очки,16,6.56
2025-11-16,Очки,25,11.08
2025-03-31,Ложка,12,7.25
2025-12-26,Телефон,28,16.99
2025-08-23,Кепка,26,15.92
2025-12-09,Кепка,9,13.45
2025-10-03,Очки,32,8.35
2025-12-20,Ложка,33,17.54
2025-09-26,Ручка,8,16.08
2025-03-16,Шорты,31,18.35
2025-07-17,Чипсы,28,14.44
2025-10-29,Очки,17,13.42
2025-06-18,Шорты,13,4.1
2025-02-10,Ложка,9,11.19
2025-03-22,Часы,4,7.51
2025-10-20,Часы,9,1.07
2025-02-11,Чипсы,6,13.0
2025-01-21,Сумка,2,13.72
2025-03-24,Кроссовки,11,1.36
2025-12-27,Свитер,22,12.67
2025-12-06,Набор пакетов,29,17.3
2025-08-08,Сумка,14,8.15
2025-06-06,Кроссовки,26,11.31
2025-12-11,Часы,1,8.26
2025-10-06,Штаны,7,13.48
2025-08-07,Чипсы,16,10.15
2025-11-19,Очки,10,10.39
2025-11-29,Ноутбук,22,16.46
2025-01-03,Кепка,7,15.61
2025-11-06,Книга,8,15.06
2025-10-25,Свитер,20,10.81
2025-09-06,Сумка,3,6.35
2025-04-09,Шорты,11,2.1
2025-07-31,Игрушка,29,12.98
2025-01-15,Ноутбук,2,11.87
2025-08-15,Сумка,6,6.53
2025-01-04,Ручка,24,9.2
2025-12-16,Футболка,2,15.05
2025-02-14,Ноутбук,11,18.53
2025-07-18,Свитер,19,4.42
2025-09-20,Телефон,9,3.42
2025-07-07,Свитер,7,15.72
2025-11-22,Кроссовки,32,2.1
2025-06-13,Книга,20,6.85
2025-10-31,Сумка,12,10.05
2025-05-08,Шорты,24,7.14
2025-02-04,Штаны,24,13.2
2025-01-25,Очки,8,7.35
2025-11-02,Книга,19,9.39
2025-03-24,Кроссовки,16,17.19
2025-05-01,Планшет,21,11.88
2025-09-12,Ручка,15,12.91
2025-07-18,Игрушка,29,7.54
2025-05-10,Ноутбук,5,7.2
2025-09-12,Ноутбук,3,10.18
2025-03-21,Ложка,15,3.76
2025-04-27,Ручка,16,7.29
2025-08-10,Набор пакетов,14,6.01
2025-12-25,Кроссовки,33,13.26
2025-03-15,Ноутбук,4,15.42
2025-08-25,Очки,32,12.27
2025-02-03,Часы,5,2.1
2025-05-28,Планшет,16,15.84
2025-02-15,Ноутбук,7,3.44
2025-05-20,Ручка,31,4.46
2025-03-15,Кепка,33,2.05
2025-09-08,Часы,8,9.62
2025-07-23,Кепка,9,14.82
2025-07-10,Штаны,2,12.49
2025-01-09,Ноутбук,8,2.28
2025-10-24,Ноутбук,15,5.69
2025-11-15,Телефон,26,4.78
2025-01-16,Ложка,21,18.12
2025-10-25,Ложка,21,14.74
2025-02-20,Игрушка,22,9.66
2025-06-29,Ноутбук,12,12.64
2025-12-11,Чипсы,26,3.71
2025-07-12,Шорты,15,14.19
2025-05-19,Футболка,13,11.2
2025-08-16,Очки,33,16.67
2025-05-08,Ложка,23,6.04
2025-02-18,Свитер,25,17.7
2025-04-24,Кепка,14,18.84
2025-02-20,Книга,14,1.31
2025-07-04,Набор пакетов,17,15.74
2025-04-05,Кроссовки,26,10.36
2025-11-19,Ложка,30,3.82
2025-06-10,Часы,12,12.36
2025-04-16,Книга,1,17.48
2025-12-29,Шорты,22,6.31
2025-02-03,Планшет,8,13.25
2025-06-23,Штаны,4,2.01
2025-09-03,Игрушка,20,17.01
2025-09-20,Очки,10,4.53
2025-07-30,Кроссовки,25,3.96
2025-11-11,Набор пакетов,22,8.96
2025-09-18,Чипсы,11,15.03
2025-11-20,Футболка,17,10.83
2025-02-12,Свитер,4,10.09
2025-07-17,Кепка,16,2.61
2025-08-22,Чипсы,24,15.78
2025-10-18,Телефон,24,13.0
2025-08-22,Свитер,19,10.58
2025-09-06,Ручка,20,8.15
2025-07-11,Кроссовки,5,4.88
2025-03-13,Телефон,28,7.27
2025-11-26,Шорты,28,1.69
2025-04-21,Набор пакетов,26,9.04
2025-12-09,Очки,32,4.89
2025-03-26,Часы,16,8.35
2025-05-01,Чипсы,25,15.42
2025-01-05,Штаны,23,13.51
2025-05-28,Ручка,21,12.09
2025-10-17,Футболка,26,18.49
2025-03-13,Свитер,4,14.46
2025-01-15,Телефон,25,1.18
2025-12-17,Ложка,10,8.57
2025-09-11,Кроссовки,24,18.59
2025-01-07,Набор пакетов,4,2.83
2025-07-17,Набор пакетов,8,2.64
2025-11-11,Набор пакетов,4,15.03
2025-11-14,Свитер,16,16.9
2025-04-15,Ложка,31,2.94
2025-12-26,Игрушка,14,17.85
2025-09-16,Планшет,21,8.05
2025-07-19,Набор пакетов,26,1.16
2025-07-26,Шорты,18,8.85
2025-04-21,Чипсы,29,14.58
2025-08-10,Свитер,10,5.51
2025-04-28,Кепка,7,17.76
2025-01-21,Книга,12,4.95
2025-01-05,Часы,15,6.22
2025-09-01,Кепка,12,2.32
2025-02-03,Ноутбук,23,5.76
2025-01-21,Ноутбук,21,10.57
2025-02-27,Свитер,10,11.48
2025-11-01,Сумка,14,16.67
2025-08-20,Набор пакетов,24,18.66
2025-05-07,Часы,14,13.02
2025-06-08,Книга,21,12.74
2025-03-10,Футболка,18,4.97
2025-10-31,Шорты,15,3.5
2025-06-16,Кроссовки,22,7.87
2025-04-02,Кроссовки,31,14.09
2025-05-07,Сумка,5,7.93
2025-10-10,Игрушка,6,9.99
2025-11-24,Планшет,18,5.09
2025-10-13,Кепка,20,7.37
2025-09-02,Свитер,11,1.84
2025-01-31,Свитер,20,15.7
2025-11-21,Шорты,31,5.91
2025-12-04,Телефон,8,6.57
2025-06-29,Планшет,11,6.05
2025-07-17,Футболка,21,17.01
2025-08-08,Свитер,7,12.18
2025-12-17,Ручка,27,17.69
2025-07-27,Набор пакетов,17,6.23
2025-03-30,Планшет,30,11.17
2025-05-28,Шорты,2,15.0
2025-03-12,Шорты,8,7.83
2025-01-15,Шорты,33,12.78
2025-09-27,Кепка,1,9.52
2025-09-05,Кроссовки,30,11.31
2025-07-14,Шорты,3,7.05
2025-01-03,Игрушка,4,14.08
2025-06-06,Планшет,10,1.59
2025-12-20,Планшет,7,3.12
2025-05-27,Футболка,6,4.49
2025-05-01,Телефон,29,6.14
2025-07-05,Свитер,26,9.03
2025-06-20,Набор пакетов,6,6.59
2025-08-11,Свитер,10,14.46
2025-12-16,Кроссовки,14,6.49
2025-11-29,Футболка,17,12.15
2025-09-01,Телефон,19,3.53
2025-06-16,Штаны,19,14.35
2025-01-30,Сумка,5,1.75
2025-09-19,Кроссовки,3,8.06
2025-05-12,Сумка,8,1.27
2025-01-18,Телефон,33,6.76
2025-02-12,Кепка,2,6.54
2025-06-03,Ноутбук,10,16.18
2025-05-23,Часы,27,1.21
2025-01-04,Игрушка,13,18.46
2025-04-07,Ручка,7,17.87
2025-10-17,Шорты,23,15.02
2025-06-07,Штаны,25,7.92
2025-04-28,Сумка,13,10.37
2025-10-22,Планшет,1,7.69
2025-07-26,Штаны,24,10.31
2025-12-23,Ручка,32,14.98
2025-07-12,Телефон,6,15.15
2025-12-25,Ложка,29,5.62
2025-06-21,Планшет,20,7.56
2025-08-16,Кроссовки,3,13.36
2025-03-20,Часы,19,18.13
2025-05-01,Кроссовки,28,13.91
2025-09-08,Ноутбук,27,14.35
2025-02-01,Часы,2,16.14
2025-04-30,Игрушка,17,2.92
2025-02-15,Книга,6,14.68
2025-02-05,Игрушка,26,12.59
2025-03-29,Кроссовки,30,7.76
2025-12-15,Книга,15,13.21
2025-12-14,Планшет,25,5.69
2025-02-08,Ручка,30,11.94
2025-08-29,Свитер,24,7.82
2025-01-03,Телефон,20,5.6
2025-10-05,Игрушка,23,16.77
2025-04-27,Футболка,22,16.97
2025-04-12,Планшет,21,17.35
2025-07-10,Шорты,1,16.98
2025-04-06,Чипсы,31,10.29
2025-04-10,Футболка,15,2.29
2025-05-14,Планшет,2,15.74
2025-05-21,Очки,10,17.02
2025-04-27,Очки,23,15.01
2025-01-18,Чипсы,26,12.45
2025-02-16,Планшет,1,4.33
2025-02-22,Набор пакетов,16,16.49
2025-06-13,Часы,12,8.99
2025-09-30,Книга,33,13.95
2025-08-15,Часы,17,17.82
2025-03-20,Игрушка,29,13.46
2025-05-04,Игрушка,14,2.55
2025-03-03,Набор пакетов,24,11.67
2025-09-27,Игрушка,13,7.94
2025-07-24,Игрушка,20,3.51
2025-07-09,Набор пакетов,21,7.54
2025-01-29,Штаны,21,8.78
2025-07-17,Ноутбук,3,3.94
2025-04-16,Ноутбук,23,16.25
2025-12-27,Штаны,31,9.37
2025-02-17,Книга,11,15.84
2025-05-25,Планшет,1,6.13
2025-01-12,Кепка,28,9.35
2025-03-03,Книга,6,12.47
2025-01-04,Сумка,1,7.79
2025-02-26,Шорты,32,5.03
2025-08-17,Кепка,8,8.39
2025-04-08,Кроссовки,17,3.44
2025-09-09,Кроссовки,19,15.01
2025-05-05,Игрушка,14,3.51
2025-09-11,Кепка,13,8.86
2025-02-21,Сумка,16,8.56
2025-12-02,Планшет,20,13.11
2025-02-06,Кроссовки,4,6.55
2025-08-19,Футболка,15,2.85
2025-04-16,Кроссовки,24,6.56
2025-10-12,Кроссовки,31,13.05
2025-09-11,Шорты,33,12.22
2025-02-04,Ложка,19,9.61
2025-08-14,Очки,33,3.96
2025-04-11,Кепка,30,5.83
2025-05-10,Шорты,15,2.58
2025-02-02,Очки,10,13.72
2025-05-31,Футболка,8,4.94
2025-10-18,Чипсы,29,9.6
2025-04-05,Кепка,18,13.35
2025-03-23,Книга,7,4.72
2025-11-24,Набор пакетов,28,2.02
2025-06-08,Футболка,29,3.12
2025-04-15,Чипсы,33,11.84
2025-10-17,Чипсы,28,14.49
2025-02-17,Сумка,2,16.73
2025-04-23,Штаны,33,18.03
2025-04-09,Кепка,29,16.36
2025-09-16,Набор пакетов,26,2.85
2025-05-23,Планшет,5,2.2
2025-06-30,Кепка,20,17.43
2025-10-11,Ложка,9,7.44
2025-06-27,Штаны,27,10.71
2025-11-06,Футболка,24,17.86
2025-07-20,Телефон,16,3.64
2025-06-22,Шорты,4,8.05
2025-08-30,Кроссовки,31,4.34
2025-04-13,Телефон,2,1.56
2025-05-01,Футболка,4,3.3
2025-02-12,Чипсы,31,7.0
2025-11-04,Книга,23,15.05
2025-03-16,Игрушка,1,15.21
2025-05-20,Шорты,17,10.42
2025-09-18,Часы,28,8.96
2025-07-23,Свитер,17,16.88
2025-01-30,Кроссовки,17,12.63
2025-07-21,Ложка,8,6.93
2025-01-25,Книга,29,13.4
2025-10-03,Футболка,7,10.27
2025-09-15,Сумка,5,7.98
2025-07-04,Ручка,4,2.14
2025-04-06,Ноутбук,21,16.61
2025-10-24,Кепка,14,9.11
2025-10-10,Футболка,13,6.84
2025-02-10,Набор пакетов,29,3.04
2025-08-01,Кепка,24,11.63
2025-08-15,Кепка,22,5.27
2025-11-17,Планшет,8,11.28
2025-10-28,Ручка,25,18.55
2025-11-02,Сумка,3,9.66
2025-02-04,Свитер,5,16.27
2025-01-28,Планшет,30,11.65
2025-12-29,Ноутбук,18,17.19
2025-06-14,Ручка,14,16.19
2025-10-09,Сумка,22,14.87
2025-01-06,Очки,31,4.9
2025-08-03,Планшет,13,18.05
2025-02-02,Свитер,9,6.57
2025-10-02,Телефон,26,12.67
2025-03-11,Кроссовки,4,17.48
2025-04-20,Свитер,7,15.89
2025-01-11,Набор пакетов,15,10.22
2025-11-13,Чипсы,12,17.5
2025-11-06,Кроссовки,20,3.59
2025-04-10,Кроссовки,31,11.37
2025-10-02,Книга,25,13.75
2025-02-03,Набор пакетов,23,7.12
2025-11-25,Шорты,30,12.3
2025-06-02,Книга,31,2.64
2025-09-19,Штаны,3,15.03
2025-04-05,Кроссовки,13,13.56
2025-05-09,Книга,26,17.2
2025-05-13,Футболка,26,2.26
2025-10-21,Сумка,27,11.5
2025-02-08,Очки,23,16.14
2025-01-25,Планшет,20,13.05
2025-05-06,Ложка,26,9.92
2025-08-13,Кроссовки,12,16.43
2025-03-24,Часы,32,18.19
2025-05-16,Набор пакетов,15,17.01
2025-10-17,Кроссовки,7,7.27
2025-02-08,Ложка,32,3.52
2025-06-05,Планшет,29,4.22
2025-11-13,Набор пакетов,22,4.26
2025-12-18,Книга,33,16.28
2025-04-10,Телефон,28,15.25
2025-10-23,Кроссовки,13,7.59
2025-04-01,Часы,17,11.19
2025-03-01,Кроссовки,25,7.25
2025-12-16,Набор пакетов,6,4.82
2025-01-20,Штаны,26,11.24
2025-10-05,Свитер,16,13.5
2025-02-28,Книга,2,15.15
2025-11-06,Часы,31,3.79
2025-06-21,Чипсы,6,12.28
2025-10-23,Часы,33,1.11
2025-04-15,Набор пакетов,21,18.69
2025-12-14,Часы,33,9.18
2025-01-10,Кепка,2,7.47
2025-03-05,Сумка,4,10.25
2025-05-13,Футболка,8,6.77
2025-05-05,Набор пакетов,9,18.34
2025-07-24,Часы,11,10.54
2025-11-22,Игрушка,16,6.15
2025-08-16,Ложка,1,9.34
2025-12-23,Планшет,6,4.66
2025-12-23,Книга,19,5.1
2025-11-01,Набор пакетов,7,18.91
2025-07-04,Книга,29,12.52
2025-12-02,Ручка,25,15.23
2025-12-24,Кроссовки,12,6.74
2025-01-17,Футболка,20,9.74
2025-04-01,Кроссовки,18,16.21
2025-12-23,Часы,29,8.81
2025-02-04,Ручка,10,13.68
2025-12-13,Набор пакетов,16,9.83
2025-04-14,Штаны,19,12.28
2025-02-21,Ноутбук,22,15.44
2025-12-04,Набор пакетов,14,5.99
2025-11-08,Книга,19,6.82
2025-01-26,Очки,9,1.61
2025-07-13,Часы,8,2.66
2025-01-02,Ложка,26,17.17
2025-11-06,Футболка,33,5.03
2025-03-03,Шорты,2,8.05
2025-03-03,Телефон,30,11.83
2025-08-04,Штаны,17,9.35
2025-10-24,Кепка,22,2.45
2025-07-21,Набор пакетов,13,2.6
2025-11-23,Игрушка,17,17.4
2025-03-11,Набор пакетов,25,15.08
2025-08-05,Набор пакетов,28,7.05
2025-11-20,Футболка,3,13.98
2025-12-12,Ноутбук,3,13.49
2025-12-15,Телефон,17,16.1
2025-10-08,Очки,30,5.0
